,poem,author,title,length,themes,url
0,"It has a hole in it.   Not only where I                                   concentrate.   The river still ribboning, twisting up,                              into its re-   arrangements, chill enlightenments, tight-knotted                                       quickenings   and loosenings--whispered messages dissolving                             the messengers--   the river still glinting-up into its handfuls, heapings.                                        glassy   forgettings under the river of  my attention--  and the river of my attention laying itself down--                                            bending,   reassembling--over the quick leaving-offs and windy                                    obstacles--   and the surface rippling under the wind's attention--  rippling over the accumulations, the slowed-down drifting                                        permanences   of the cold  bed.  I say iridescent and I look down.  The leaves very still as they are carried.",Jorie Graham,The Surface,99,,http://www.famouspoetsandpoems.com/poets/jorie_graham/poems/16579
1,The Sea Is History ,Derek Walcott,The Sea Is History,4,"['history', 'sea']",http://www.famouspoetsandpoems.com/poets/derek_walcott/poems/11257
2,"Broad sun-stoned beaches.  White heat. A green river.  A bridge, scorched yellow palms  from the summer-sleeping house drowsing through August.  Days I have held, days I have lost,  days that outgrow, like daughters, my harbouring arms.",Derek Walcott,"Midsummer, Tobago",36,,http://www.famouspoetsandpoems.com/poets/derek_walcott/poems/11262
3,"The time will come  when, with elation  you will greet yourself arriving  at your own door, in your own mirror  and each will smile at the other's welcome,   and say, sit here. Eat.  You will love again the stranger who was your self. Give wine. Give bread. Give back your heart  to itself, to the stranger who has loved you   all your life, whom you ignored  for another, who knows you by heart.  Take down the love letters from the bookshelf,   the photographs, the desperate notes,  peel your own image from the mirror.  Sit. Feast on your life.",Derek Walcott,Love After Love,98,,http://www.famouspoetsandpoems.com/poets/derek_walcott/poems/11250
4,"This coral's hape ecohes the hand It hollowed. Its  Immediate absence is heavy. As pumice, As your breast in my cupped palm.  Sea-cold, its nipple rasps like sand, Its pores, like yours, shone with salt sweat.  Bodies in absence displace their weight, And your smooth body, like none other,  Creates an exact absence like this stoneSet on a table with a whitening rack  Of souvenirs. It dares my hand To claim what lovers' hands have never known:  The nature of the body of another.",Derek Walcott,Coral,84,,http://www.famouspoetsandpoems.com/poets/derek_walcott/poems/11268
5,"Better a jungle in the head than rootless concrete. Better to stand bewildered by the fireflies' crooked street;  winter lamps do not show where the sidewalk is lost, nor can these tongues of snow speak for the Holy Ghost;  the self-increasing silence  of words dropped from a roof points along iron railings, direction, in not proof.  But best is this night surf with slow scriptures of sand, that sends, not quite a seraph, but a late cormorant,  whose fading cry propels through phosphorescent shoal what, in my childhood gospels, used to be called the Soul.",Derek Walcott,Pentecost,95,,http://www.famouspoetsandpoems.com/poets/derek_walcott/poems/11266
6,"The wine of astonishment is house wine at my house. The whiskey of it is a sauce we savor.  The cocaine of thy judgment also is rock crystal, blow to blow the mitral valve. Truly is the heroin of thine excellency said to be deep brown, shit pure enough to stop the heart.",Brooks Haxton,Monster Minded,53,,http://www.famouspoetsandpoems.com/poets/brooks_haxton/poems/16606
7,"In the hidden part thou shalt make me to know             wisdom.    Psalm 51  That young man firing his Kalashnikov into the playground has been made to know the hidden part.  Me, I want to pray. Im on my knees. But all I am is screaming I dont know what for.  Maybe the best God can do is pay no mind.",Brooks Haxton,I Want to Pray,60,,http://www.famouspoetsandpoems.com/poets/brooks_haxton/poems/16610
8,"My God, my God, why hast thou forsaken me?          Psalm 22  When fever burned the last light out of my daughters eyes, I swore to find and kill the ones to blame.  Men must  mount the long boat in the dark with spears. At dawn, where the flowering spicebush hid my scent, I crouched.  A young wife, newborn slung across her chest, came first for springwater.  She stooped.  My god, for vengeance, spoke her secret name inside my ear.  Her god stepped back with no scream, his right hand at his mouth, the knuckles clenched between the pointed teeth.",Brooks Haxton,Every Death Is Magic from the Enemy to Be Avenged,99,,http://www.famouspoetsandpoems.com/poets/brooks_haxton/poems/16611
9,"I am not jealous of what came before me.  Come with a man  on your shoulders, come with a hundred men in your hair, come with a thousand men between your breasts and your feet, come like a river full of drowned men which flows down to the wild sea, to the eternal surf, to Time!  Bring them all to where I am waiting for you; we shall always be alone, we shall always be you and I alone on earth to start our life!",Pablo Neruda,Always,85,,http://www.famouspoetsandpoems.com/poets/pablo_neruda/poems/15718
