year,title,url,author,themes,poem,lengths
1917.0,Dawn,/poetsorg/poem/dawn-2,John Gould Fletcher,"['Cities', 'Nature']","Above the east horizon, The great red flower of the dawn Opens slowly, petal by petal; The trees emerge from darkness With ghostly silver leaves, Dew powdered. Now consciousness emerges Reluctantly out of tides of sleep; Finding with cold surprise No strange new thing to match its dreams, But merely the familiar shapes Of bedpost, window-pane, and wall. Within the city, The streets which were the last to fall to sleep, Hold yet stale fragments of the night. Sleep oozes out of stagnant ash-barrels, Sleep drowses over litter in the streets. Sleep nods upon the milkcans by back doors. And, in shut rooms, Behind the lowered window-blinds, Drawn white faces unwittingly flout the day. But, at the edges of the city, Sleep is already washed away; Light filters through the moist green leaves, It runs into the cups of flowers, It leaps in sparks through drops of dew, It whirls against the window-panes With waking birds; Blinds are rolled up and chimneys smoke, Feet clatter past in silent paths, And down white vanishing ways of steel, A dozen railway trains converge Upon night’s stronghold.",184
2017.0,Daily Conscription ,/poetsorg/poem/daily-conscription,Kyle Dargan,['Cities'],"“We can no longer afford that particular romance.” —James Baldwin Brother Rickey halts me before I cross East Capitol. He trumpets that we are at war. I want to admit that I don’t believe in “white” —in the manner that Baldwin did not—but Brother Rickey would simply retort that my disbelief is no immunity from the imaginations of those who think themselves “white.” As we await the stoplight’s shift—so I may walk and he may holler “Final Call!” between lanes of idle traffic— I think of race as something akin to climate change, a force we don’t have to believe in for it to kill us. I once believed in the seasons. (I fantasize fall as Brother Rickey’s favorite—when his suits, boxy and plaid, would be neither too hot nor thin.) But we are losing spring and fall—tripping from blaze to frost and back. And what’s to say we won’t soon shed another season, one of these remaining two, and live on either an Earth of molten streets or one of frozen light? That’s when worlds end, no—when, after we’ve eradicated ourselves, we become faint fossils to be exhumed by the curiosities of whichever life-forms follow our reign? I still owe Brother Rickey two dollars for the paper he last placed in my hand, calling me “soldier.” I don’t have to believe that I am enlisted in order to understand he’ll forgive my debt so long as this idea of “whiteness” sorties above us— ultraviolet, obliging an aseasonal, unending deployment. Released by the signal, I advance—my head down, straining to discern the crossfire from the cover.",266
1920.0,Recuerdo,/poetsorg/poem/recuerdo-0,Edna St. Vincent Millay,['Cities'],"We were very tired, we were very merry—   We had gone back and forth all night on the ferry.   It was bare and bright, and smelled like a stable—   But we looked into a fire, we leaned across a table,   We lay on a hill-top underneath the moon;   And the whistles kept blowing, and the dawn came soon.   We were very tired, we were very merry—   We had gone back and forth all night on the ferry;   And you ate an apple, and I ate a pear,   From a dozen of each we had bought somewhere;   And the sky went wan, and the wind came cold,   And the sun rose dripping, a bucketful of gold.   We were very tired, we were very merry,   We had gone back and forth all night on the ferry.   We hailed, ""Good morrow, mother!"" to a shawl-covered head,   And bought a morning paper, which neither of us read;   And she wept, ""God bless you!"" for the apples and pears,   And we gave her all our money but our subway fares.",192
1917.0,"[Immortal?... No,]",/poetsorg/poem/immortal-no,F. S. Flint,"['Cities', 'Nature']","Immortal?... No, they cannot be, these people, nor I. Tired faces, eyes that have never seen the world, bodies that have never lived in air, lips that have never minted speech, they are the clipped and garbled, blocking the highway. They swarm and eddy between the banks of glowing shops towards the red meat, the potherbs, the cheapjacks, or surge in before the swift rush of the clanging trams,— pitiful, ugly, mean, encumbering. Immortal?... In a wood, watching the shadow of a bird leap from frond to frond of bracken, I am immortal. But these?",95
2017.0,from “The Last Bohemian of Avenue A”,/poetsorg/poem/last-bohemian-avenue,Yusef Komunyakaa,['Cities'],"Here’s the End of the World mobile with its shiny bullhorn & platitudes among drawings tattooed across the beige hood big as a mammoth broken out of ice, bellyful of buttercups. Doomsday has come & gone, & now the sluggish van rolls toward the snowy East River at a quarter past midnight, & I wonder how it is to quit a job one week earlier & return on blue Monday, begging the foreman for a chance to stoke the brimstone furnace. Changes stumble into my life sometimes, like last Sunday when I sat at the dining table of an old friend of a thousand stories, a glare falling into my left eye, her daughter watching TV in a side room, & I heard this Foley guy sawing a maple cross with a horse-hair bow. I can’t help but walk over & lean into the doorway, & then raise a phantom alto to my lips. The cat’s young too, rocking his upright at the foot of Babel, speaking pain & joy in the most beautiful way I’ve heard in a long time, & say to myself, Rabbas, you could run the table with this guy at Small’s, could teach the shadows to walk on their hands & dance with alley cats. I’ve been here a long time working this hunk of brass, & knew Mingus in the days when he’d strike a righteous pose up on the bandstand & bring down the house, talking jive & rave, jabbing below the belt, where it hurts. Can you imagine him up there today, playing a new version of “Fables of Faubus,” big as thunder at dawn rocking hundred-year-old hanging trees out of memory, can you dig? The guy on the corner jingling coins in a Dixie cup pulls on his blind-man’s shades as March runs down Delancey, woozy as a rush-up of sparrows over Chinatown. One small thing seems almost holy, & lightheaded hues settle over the architecture & a handkerchief dance unfolds into some jostle of bumper balls. This is the hour paradise is not only for itself, & one doesn’t feel stupid picking up a dull penny from a sidewalk. A tremble goes through cloth, tugging bodies into a new world, & by ten-thirty the wind rolls on past the Hudson, headed upstate. I want to jump up & down, to shout as March ambushes the last antiheroes this scatterbrain side of town.",402
2009.0,The City Outside My Ear,/poetsorg/poem/city-outside-my-ear,Michael Luis Medrano,['Cities'],"A Minnesota poet who writes in a plethora of ice asks me what the shape of a poem written in the hot dust of the valley would look and sound like. I tell him it is all dust, even in the city outside my ear— my bedroom window rattling when gunshots pop, when the cops in metallic cars screech through barrio streets, when a miniature man is swallowed by the lake of shadows and the streaming lights of the helicopter night.",81
1922.0,On Broadway ,/poetsorg/poem/broadway-0,Claude McKay,['Cities'],"About me young and careless feet Linger along the garish street;    Above, a hundred shouting signs Shed down their bright fantastic glow    Upon the merry crowd and lines Of moving carriages below. Oh wonderful is Broadway—only My heart, my heart is lonely. Desire naked, linked with Passion, Goes strutting by in brazen fashion;    From playhouse, cabaret and inn The rainbow lights of Broadway blaze    All gay without, all glad within; As in a dream I stand and gaze At Broadway, shining Broadway—only My heart, my heart is lonely.",92
1917.0,"[London, my beautiful]",/poetsorg/poem/london-my-beautiful,F. S. Flint,['Cities'],"London, my beautiful, it is not the sunset nor the pale green sky shimmering through the curtain of the silver birch, nor the quietness; it is not the hopping of birds upon the lawn, nor the darkness stealing over all things that moves me. But as the moon creeps slowly over the tree-tops among the stars, I think of her and the glow her passing sheds on the men. London, my beautiful, I will climb into the branches to the moonlit tree-tops, that my blood may be cooled by the wind.",91
1919.0,Solitare,/poetsorg/poem/solitare,Amy Lowell,['Cities'],"When night drifts along the streets of the city, And sifts down between the uneven roofs, My mind begins to peek and peer. It plays at ball in odd, blue Chinese gardens, And shakes wrought dice-cups in Pagan temples Amid the broken flutings of white pillars. It dances with purple and yellow crocuses in its hair, And its feet shine as they flutter over drenched grasses. How light and laughing my mind is, When all the good folk have put out their bedroom candles, And the city is still.",89
2017.0,In the City,/poetsorg/poem/city-2,Chen Chen,['Cities'],"for Monica Sok These bridges are a feat of engineering. These pork & chive dumplings             we bought together, before hopping on a train & crossing bridges, are a feat of engineering. Talking to you, crossing bridges             in trains, eating pork & chive dumplings in your bright boxcar of a kitchen in Brooklyn, is an engineer’s dream-feat             of astonishment. Tonight I cannot believe the skyline because the skyline believes in me, forgives me my drooling             astonishment over it & over the fact that this happens, this night, every night, its belief, glittering mad & megawatt like the dreams             of parents. By the way, is this soy sauce reduced sodium? Do you know? Do we care? High, unabashed sodium intake!             Unabashed exclamation points! New York is an exclamation I take, making my escape, away from the quiet snowy commas of Upstate             & the mess of questions marking my Bostonian past. In New York we read Darwish, we write broken sonnets finally forgiving             the Broken English of Our Mothers, we eat pork & chive dumplings, & I know, it’s such a 90s fantasy             of multiculturalism that I am rehashing, bust still, in New York I feel I can tell you how my mother & I             used to make dumplings together, like a scene out of  The Joy Luck Club . The small kitchen, the small bowl of water             between us. How we dipped index finger, thumb. Sealed each dumpling like tucking in a secret, goodnight.             The meat of a memory. A feat of engineering. A dream of mother & son. Interrupted by the father, my father             who made my mother get on a plane, a theory. years of nowhere across American No’s, a degree that proved useless.             Proved he was the father. I try to build a bridge to my parents but only reach my mother & it’s a bridge she’s about to             jump off of. I run to her, she jumps, she’s swimming, saying,  Finally I’ve learned—all this time, trying to get from one useless             chunk of land to another, when I should’ve stayed  in the water.  & we’re drinking tap water in your bright Brooklyn kitchen.             I don’t know what to tell you. I thought I could tell this story, give it a way out of itself. Even here, in my fabulous             Tony-winning monologue of a New York, I’m struggling to get to the Joy, the Luck. I tell you my mother still             boils the water, though she knows she doesn’t have to anymore. Her special kettle boils in no time, is a feat of engineering.             She could boil my father in it & he’d come out a better person, in beautiful shoes.             She could boil the Atlantic, the Pacific, every idyllic American pond with its swans. She would.",483
