1917,Dawn,/poetsorg/poem/dawn-2,John Gould Fletcher,Cities
2017,Daily Conscription ,/poetsorg/poem/daily-conscription,Kyle Dargan,Cities
1920,Recuerdo,/poetsorg/poem/recuerdo-0,Edna St. Vincent Millay,Cities
1917,"[Immortal?... No,]",/poetsorg/poem/immortal-no,F. S. Flint,Cities
2017,from “The Last Bohemian of Avenue A”,/poetsorg/poem/last-bohemian-avenue,Yusef Komunyakaa,Cities
2009,The City Outside My Ear,/poetsorg/poem/city-outside-my-ear,Michael Luis Medrano,Cities
1922,On Broadway ,/poetsorg/poem/broadway-0,Claude McKay,Cities
1917,"[London, my beautiful]",/poetsorg/poem/london-my-beautiful,F. S. Flint,Cities
1919,Solitare,/poetsorg/poem/solitare,Amy Lowell,Cities
2017,In the City,/poetsorg/poem/city-2,Chen Chen,Cities
2017,Waiting for the Light,/poetsorg/poem/waiting-light,Alicia Ostriker,Cities
2016,American Ready Cut System Houses,/poetsorg/poem/american-ready-cut-system-houses,Heather Derr-Smith,Cities
2016,Ducks Sat,/poetsorg/poem/ducks-sat,Michele Glazer,Cities
2005,City Moon,/poetsorg/poem/city-moon,Francisco Aragón,Cities
1999,Classic Ballroom Dances,/poetsorg/poem/classic-ballroom-dances,Charles Simic,Cities
2017,Change of Address,/poetsorg/poem/change-address,Deborah Paredez,Cities
2016,this sad little enclave of horses,/poetsorg/poem/sad-little-enclave-horses,Julian Talamantez Brolaski,Cities
2016,Exchange,/poetsorg/poem/exchange,Rae Armantrout,Cities
2016,From Third Avenue On ,/poetsorg/poem/third-avenue,Djuna Barnes,Cities
2013,To the Fig Tree on 9th and Christian,/poetsorg/poem/fig-tree-9th-and-christian,Ross Gay,Cities
2016,"August Morning, Upper Broadway",/poetsorg/poem/august-morning-upper-broadway,Alicia Ostriker,Cities
2014,Blast,/poetsorg/poem/blast,Marie-Elizabeth Mali,Cities
2008,Manchild,/poetsorg/poem/manchild,Cornelius Eady,Cities
1855,To a Stranger,/poetsorg/poem/to-a-stranger,Walt Whitman,Cities
1918,The Ghetto,/poetsorg/poem/ghetto,Lola Ridge,Cities
2013,[ a subway ride ],/poetsorg/poem/subway-ride,Joseph O. Legaspi,Cities
2014,Solstice in Llasa,/poetsorg/poem/solstice-llasa,Wang Ping,Cities
2014,Faith,/poetsorg/poem/faith,Tim Seibles,Cities
1918,Bowery Afternoon,/poetsorg/poem/bowery-afternoon,Lola Ridge,Cities
2015,Death and the City,/poetsorg/poem/death-and-city,Rowan Ricardo Phillips,Cities
